日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2023/01/10,TX,投信,676,2001299,75,221125,601,1780174,10885,32241370,18156,53777682,-7271,-21536312
2023/01/10,TE,自營商,287,784257,273,746177,14,38080,454,1241173,449,1227870,5,13303
2023/01/10,TE,投信,4,10932,0,0,4,10932,150,410250,0,0,150,410250
2023/01/10,TX,外資,53439,158175729,55843,165325634,-2404,-7149905,30759,91104098,21522,63734203,9237,27369895
2023/01/10,MTX,投信,2,1481,0,0,2,1481,100,74050,11,8146,89,65904
2023/01/10,MTX,自營商,13863,10252024,14354,10607434,-491,-355409,11232,8292105,3368,2492558,7864,5799547
2023/01/10,MTX,外資,83557,61844258,92193,68240616,-8636,-6396358,13423,9939248,3908,2892407,9515,7046841
2023/01/10,TE,外資,828,2262066,916,2503090,-88,-241024,1628,4452573,497,1359295,1131,3093278
2023/01/10,NQF,外資,1318,742727,1603,900663,-285,-157937,44,24845,1628,911391,-1584,-886546
2023/01/10,NQF,自營商,19,10741,48,26993,-29,-16252,0,0,631,353202,-631,-353202
2023/01/10,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/11,TX,投信,61,180463,136,401683,-75,-221220,10862,32131968,18208,53862126,-7346,-21730158
2023/01/11,TX,自營商,9364,27729580,8968,26552725,396,1176855,13378,39536007,5292,15631280,8086,23904727
2023/01/11,TE,外資,610,1668053,650,1777499,-40,-109447,1577,4314014,486,1329502,1091,2984512
2023/01/11,TE,自營商,241,659203,255,696978,-14,-37775,397,1085478,414,1132362,-17,-46884
2023/01/11,TX,外資,43374,128489339,47606,141038984,-4232,-12549645,27864,82423174,22864,67621015,5000,14802159
2023/01/11,MTX,投信,0,0,0,0,0,0,100,73955,11,8135,89,65820
2023/01/11,MTX,自營商,10318,7637229,10384,7682735,-66,-45506,9713,7159408,1837,1355835,7876,5803573
2023/01/11,MTX,外資,76795,56875918,83986,62207442,-7191,-5331525,8772,6486648,6178,4566980,2594,1919668
2023/01/11,TE,投信,0,0,0,0,0,0,150,410340,0,0,150,410340
2023/01/12,TX,自營商,7377,21786654,7330,21652333,47,134321,14205,41904669,6081,17931588,8124,23973081
2023/01/11,NQF,外資,1598,897352,1662,931741,-64,-34389,61,34776,1709,966634,-1648,-931858
2023/01/11,NQF,自營商,13,7322,19,10708,-6,-3386,0,0,637,360255,-637,-360255
2023/01/12,TX,投信,385,1136354,236,697575,149,438779,10875,32114970,18072,53369334,-7197,-21254364
2023/01/11,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/12,TX,外資,44391,131235165,43686,129160924,705,2074241,27066,79922989,21361,63066020,5705,16856969
2023/01/12,TE,外資,622,1699192,613,1674747,9,24446,1545,4219045,445,1215199,1100,3003846
2023/01/12,TE,投信,0,0,0,0,0,0,150,409620,0,0,150,409620
2023/01/12,MTX,投信,0,0,4,2953,-4,-2953,96,70877,11,8121,85,62756
2023/01/12,TE,自營商,295,805729,244,665967,51,139761,357,974306,327,892774,30,81532
2023/01/12,MTX,外資,74565,55117558,75975,56151852,-1410,-1034295,8883,6557763,7699,5680561,1184,877202
2023/01/12,MTX,自營商,9751,7198875,10375,7654656,-624,-455781,9104,6700539,1816,1337392,7288,5363147
2023/01/12,NQF,自營商,21,12003,36,20632,-15,-8629,0,0,652,374900,-652,-374900
2023/01/13,TX,投信,748,2219711,872,2589581,-124,-369870,10608,31468264,17929,53188338,-7321,-21720074
2023/01/12,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/13,TX,外資,86077,256243502,80105,238481406,5972,17762096,33712,99983872,22023,65307628,11689,34676244
2023/01/13,TE,自營商,511,1413790,595,1644503,-84,-230712,273,750322,327,899643,-54,-149321
2023/01/13,TE,投信,1,2744,5,13762,-4,-11017,146,401813,0,0,146,401813
2023/01/13,TX,自營商,12753,37919878,14265,42441427,-1512,-4521549,12910,38244922,6373,18877985,6537,19366937
2023/01/12,NQF,外資,1171,666913,876,498572,295,168341,71,41210,1424,818932,-1353,-777722
2023/01/13,TE,外資,1420,3928159,1302,3604502,118,323657,1504,4139214,286,787086,1218,3352128
2023/01/13,MTX,外資,138169,102823461,132899,98897850,5270,3925612,12822,9508227,6416,4753476,6406,4754751
2023/01/13,MTX,投信,19,14055,20,14825,-1,-770,95,70429,11,8159,84,62270
