日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2024/01/02,TX,外資,47732,170145520,48449,172680269,-717,-2534749,48357,172147870,65786,234194020,-17429,-62046150
2024/01/02,TE,投信,0,0,0,0,0,0,222,785258,0,0,222,785258
2024/01/02,TE,自營商,237,840909,320,1134246,-83,-293338,256,905509,411,1453781,-155,-548272
2024/01/02,TX,自營商,9555,34052898,9119,32493044,436,1559854,8514,30309181,7073,25167149,1441,5142032
2024/01/02,TX,投信,297,1057393,458,1630299,-161,-572906,21605,76913800,11576,41210560,10029,35703240
2024/01/02,TE,外資,801,2838326,771,2732713,30,105613,621,2196601,802,2836834,-181,-640233
2024/01/02,MTX,外資,70951,63232966,77749,69280207,-6798,-6047241,2666,2372875,7433,6615417,-4767,-4242542
2024/01/02,MTX,投信,4,3558,2,1780,2,1778,206,183340,14,12460,192,170880
2024/01/02,MTX,自營商,14994,13364097,16107,14348552,-1113,-984455,8110,7218111,7278,6468419,832,749692
2024/01/02,NQF,自營商,7,5936,1,851,6,5085,14,11911,35,29776,-21,-17865
2024/01/02,NQF,外資,721,613825,796,677459,-75,-63634,554,472953,214,182061,340,290892
2024/01/02,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2024/01/03,TX,投信,537,1884547,1755,6158867,-1218,-4274320,20764,72860876,11953,41943077,8811,30917799
2024/01/03,TE,投信,6,20887,19,66054,-13,-45168,209,726693,0,0,209,726693
2024/01/03,TX,外資,58026,204489716,63357,223331352,-5331,-18841636,45453,159492638,69488,243829744,-24035,-84337106
2024/01/03,MTX,投信,9,7908,0,0,9,7908,215,188609,14,12282,201,176327
2024/01/03,TE,自營商,266,929086,334,1165986,-68,-236899,189,657147,457,1588983,-268,-931836
2024/01/03,TE,外資,828,2888188,829,2892837,-1,-4649,574,1995798,770,2677290,-196,-681492
2024/01/03,MTX,外資,71801,63310976,86386,76174352,-14585,-12863376,1394,1222928,15625,13706963,-14231,-12484035
2024/01/03,TX,自營商,13803,48641206,14680,51700696,-877,-3059490,8386,29425911,7791,27326381,595,2099530
2024/01/03,MTX,自營商,21605,19040729,27098,23871887,-5493,-4831159,9191,8063210,13815,12108001,-4624,-4044791
2024/01/03,NQF,自營商,29,24301,25,20915,4,3386,19,15865,36,30060,-17,-14195
2024/01/04,TX,投信,385,1351382,433,1519258,-48,-167876,20484,71898840,11721,41140710,8763,30758130
2024/01/03,NQF,外資,1308,1097205,1891,1587088,-583,-489883,211,177411,454,379090,-243,-201679
2024/01/04,TX,自營商,6402,22459145,7938,27850863,-1536,-5391717,6904,24230686,7863,27582648,-959,-3351962
2024/01/03,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2024/01/04,TE,自營商,249,864996,303,1052232,-54,-187236,203,704804,526,1826262,-323,-1121458
2024/01/04,TX,外資,48994,171909131,45431,159400303,3563,12508828,44327,155582441,64797,227430188,-20470,-71847747
2024/01/04,TE,外資,610,2119634,524,1820759,86,298875,606,2104032,716,2485952,-110,-381920
2024/01/04,TE,投信,10,34708,0,0,10,34708,219,760368,0,0,219,760368
2024/01/04,MTX,自營商,9144,8017663,9533,8359211,-389,-341547,8215,7207861,13156,11530365,-4941,-4322504
2024/01/04,MTX,投信,0,0,4,3510,-4,-3510,211,185153,14,12285,197,172868
2024/01/04,MTX,外資,70569,61893477,61233,53705100,9336,8188377,4298,3771589,9201,8073720,-4903,-4302131
2024/01/04,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2024/01/04,NQF,外資,1155,960316,1648,1369690,-493,-409375,166,138609,902,746585,-736,-607976
2024/01/05,TX,投信,497,1741578,759,2659191,-262,-917613,19898,69714633,11397,39930529,8501,29784104
2024/01/04,NQF,自營商,47,39045,156,129550,-109,-90505,10,8277,136,112567,-126,-104290
2024/01/05,TX,自營商,9259,32500623,8174,28691632,1085,3808991,8027,28120058,7841,27457050,186,663008
2024/01/05,TX,外資,50697,178023797,49911,175252083,786,2771714,44663,156478285,64345,225431834,-19682,-68953549
