日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2025/01/02,TX,自營商,11870,54326275,10063,46060116,1807,8266158,6301,28809032,5365,24539798,936,4269234
2025/01/02,TE,投信,0,0,24,121712,-24,-121712,273,1384219,0,0,273,1384219
2025/01/02,TX,外資,53954,247269702,55016,252113746,-1062,-4844043,9023,41227315,52279,238858361,-43256,-197631046
2025/01/02,TX,投信,222,1012369,265,1210788,-43,-198418,31482,143828665,6031,27553227,25451,116275438
2025/01/02,TE,自營商,84,426655,72,366147,12,60508,25,126852,214,1085066,-189,-958214
2025/01/02,MTX,自營商,11815,13532412,14076,16117882,-2261,-2585469,2852,3266486,7403,8482032,-4551,-5215546
2025/01/02,MTX,外資,85869,98503282,89485,102620323,-3616,-4117041,2355,2689763,6074,6940003,-3719,-4250240
2025/01/02,TE,外資,619,3143389,615,3122632,4,20757,329,1668162,686,3478294,-357,-1810132
2025/01/02,ZMX,自營商,8006,1840842,13716,3142229,-5710,-1301387,3430,784738,19170,4385625,-15740,-3600887
2025/01/02,MTX,投信,0,0,26,29744,-26,-29744,137,156475,19,21701,118,134774
2025/01/02,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/01/02,ZMX,外資,34888,8009175,45583,10450119,-10695,-2440944,2163,494246,10674,2438262,-8511,-1944016
2025/01/02,NQF,投信,0,0,0,0,0,0,4,4277,0,0,4,4277
2025/01/02,NQF,自營商,55,58658,5,5344,50,53314,0,0,303,323968,-303,-323968
2025/01/03,TX,自營商,7072,32496382,8779,40333622,-1707,-7837240,5069,23320118,5829,26811410,-760,-3491292
2025/01/03,TX,外資,60097,275760992,57188,262405622,2909,13355370,9809,45082603,49783,228792830,-39974,-183710227
2025/01/03,TX,投信,260,1194939,35,161395,225,1033544,31595,145191663,5919,27200173,25676,117991490
2025/01/02,NQF,外資,1441,1540605,1514,1618059,-73,-77454,11,11894,1588,1698446,-1577,-1686552
2025/01/03,MTX,自營商,12922,14853102,12760,14651569,162,201533,3964,4564609,8216,9459242,-4252,-4894633
2025/01/03,TE,投信,0,0,14,71617,-14,-71617,259,1322972,0,0,259,1322972
2025/01/03,TE,外資,452,2307767,415,2118611,37,189156,333,1700964,653,3335524,-320,-1634560
2025/01/03,TE,自營商,70,357906,39,199349,31,158557,18,92036,176,899008,-158,-806972
2025/01/03,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/01/03,MTX,外資,106781,122458444,99377,113947271,7404,8511173,6873,7896219,3361,3862938,3512,4033281
2025/01/03,ZMX,自營商,18904,4347648,8475,1946431,10429,2401217,7272,1672479,13488,3103734,-6216,-1431255
2025/01/03,NQF,自營商,5,5309,15,15928,-10,-10619,0,0,313,332234,-313,-332234
2025/01/03,MTX,投信,3,3446,0,0,3,3446,137,157392,16,18382,121,139010
2025/01/03,ZMX,外資,52216,11977705,43351,9934573,8865,2043131,2552,586630,8793,2020368,-6241,-1433738
2025/01/03,NQF,投信,0,0,0,0,0,0,4,4246,0,0,4,4246
2025/01/06,TX,自營商,8007,37433140,10190,47670476,-2183,-10237336,3769,17819557,6686,31584476,-2917,-13764919
2025/01/03,NQF,外資,2060,2192809,2220,2362823,-160,-170015,16,17122,1753,1861566,-1737,-1844444
2025/01/06,TX,外資,55329,258198837,51375,239680019,3954,18518818,15770,74464784,48632,229621317,-32862,-155156533
2025/01/06,TX,投信,880,4144692,38,178465,842,3966227,31853,150384384,5335,25187602,26518,125196782
2025/01/06,TE,投信,6,31632,10,52715,-4,-21083,255,1345023,0,0,255,1345023
2025/01/06,TE,自營商,52,272566,65,340251,-13,-67685,19,100298,188,991625,-169,-891327
2025/01/06,MTX,自營商,17687,20682458,12651,14784878,5036,5897580,8951,10581849,8200,9691296,751,890553
2025/01/06,MTX,外資,86018,100176699,74634,86895867,11384,13280833,8510,10044977,2995,3535176,5515,6509801
2025/01/06,ZMX,自營商,19467,4550594,4597,1070323,14870,3480271,14752,3485181,6453,1524300,8299,1960881
2025/01/06,TE,外資,734,3836702,647,3383875,87,452827,426,2246980,659,3475961,-233,-1228981
2025/01/06,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/01/06,NQF,自營商,12,12912,46,49380,-34,-36469,0,0,347,374101,-347,-374101
2025/01/06,MTX,投信,4,4721,1,1180,3,3540,136,160521,12,14164,124,146357
2025/01/06,ZMX,外資,52376,12194198,31067,7228449,21309,4965749,4220,997428,5407,1276376,-1187,-278948
2025/01/06,NQF,投信,0,0,0,0,0,0,4,4312,0,0,4,4312
2025/01/06,NQF,外資,1015,1087257,1101,1179526,-86,-92269,13,14136,1836,1980184,-1823,-1966048
2025/01/07,TX,自營商,8691,41406223,9125,43511063,-434,-2104841,3644,17333617,7002,33271533,-3358,-15937916
2025/01/07,TX,投信,197,939628,912,4329461,-715,-3389833,31059,147480556,5256,24957590,25803,122522966
2025/01/07,TE,自營商,46,245848,59,316078,-13,-70230,15,80080,197,1050443,-182,-970363
2025/01/07,TX,外資,57051,272065205,54535,260027780,2516,12037425,18069,85816364,48415,229919800,-30346,-144103436
2025/01/07,TE,外資,499,2671880,502,2686915,-3,-15034,430,2292846,666,3551245,-236,-1258399
2025/01/07,TE,投信,15,80262,0,0,15,80262,270,1439694,0,0,270,1439694
2025/01/07,MTX,自營商,12769,15224171,13773,16421971,-1004,-1197801,7128,8480990,7344,8734847,-216,-253857
2025/01/07,ZMX,自營商,6608,1577482,8214,1959703,-1606,-382221,13826,3285961,7178,1705591,6648,1580370
2025/01/07,MTX,外資,91689,109308755,89942,107216302,1747,2092453,9757,11582884,2495,2962598,7262,8620286
2025/01/07,MTX,投信,1,1187,0,0,1,1187,136,161446,11,13058,125,148388
2025/01/07,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/01/07,NQF,自營商,0,0,17,18536,-17,-18536,0,0,364,395181,-364,-395181
2025/01/07,ZMX,外資,43743,10430666,45613,10874604,-1870,-443938,4399,1045920,7456,1770204,-3057,-724284
2025/01/07,NQF,投信,0,0,0,0,0,0,4,4342,0,0,4,4342
2025/01/08,TX,投信,26,122166,484,2270178,-458,-2148013,30748,144201997,5403,25338989,25345,118863008
2025/01/07,NQF,外資,1312,1429279,1310,1426890,2,2390,13,14239,1834,1991634,-1821,-1977395
2025/01/08,TX,自營商,10592,49994034,8590,40540991,2002,9453042,4990,23432397,6447,30262894,-1457,-6830497
2025/01/08,TE,自營商,70,369656,50,265015,20,104641,11,57783,165,865294,-154,-807511
2025/01/08,TX,外資,53004,250333626,59294,280091900,-6290,-29758274,17576,82451777,55028,258105756,-37452,-175653979
2025/01/08,TE,投信,0,0,1,5243,-1,-5243,269,1410582,0,0,269,1410582
2025/01/08,MTX,投信,0,0,3,3518,-3,-3518,136,159453,14,16414,122,143039
2025/01/08,TE,外資,451,2379060,491,2589751,-40,-210691,399,2092276,675,3539565,-276,-1447289
2025/01/08,MTX,自營商,12889,15221482,15555,18363065,-2666,-3141583,4198,4935287,6765,7950194,-2567,-3014907
2025/01/08,MTX,外資,83901,99147620,95422,112764650,-11521,-13617031,2758,3233878,5964,6995447,-3206,-3761569
2025/01/08,ZMX,外資,38640,9138241,53497,12640198,-14857,-3501957,2741,643132,9520,2232345,-6779,-1589213
2025/01/08,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/01/08,ZMX,自營商,4836,1144092,13684,3231932,-8848,-2087839,9136,2143644,10646,2500025,-1510,-356381
2025/01/08,NQF,外資,1384,1493579,1687,1820478,-303,-326899,11,11920,2135,2289730,-2124,-2277810
2025/01/08,NQF,自營商,28,30112,10,10776,18,19336,0,0,346,370987,-346,-370987
2025/01/08,NQF,投信,0,0,0,0,0,0,4,4289,0,0,4,4289
2025/01/09,TX,自營商,8788,40925211,7585,35327532,1203,5597679,5623,26017430,5917,27377683,-294,-1360253
2025/01/09,TE,外資,390,2032123,415,2161907,-25,-129784,402,2082199,703,3641259,-301,-1559060
2025/01/09,TE,投信,0,0,0,0,0,0,269,1393312,0,0,269,1393312
2025/01/09,TX,外資,59239,276121880,61268,285594592,-2029,-9472712,16753,77437592,57753,266876557,-41000,-189438965
2025/01/09,TX,投信,68,315935,476,2201705,-408,-1885770,30444,140646241,5507,25441239,24937,115205002
2025/01/09,TE,自營商,49,255645,46,239770,3,15875,24,124392,173,896139,-149,-771747
2025/01/09,MTX,外資,99765,116306442,105050,122473328,-5285,-6166885,2540,2934896,6397,7395663,-3857,-4460767
2025/01/09,MTX,自營商,12118,14124439,15300,17834145,-3182,-3709707,3932,4556070,9651,11175003,-5719,-6618933
2025/01/09,MTX,投信,106,122932,101,116741,5,6191,142,164400,15,17324,127,147076
2025/01/09,ZMX,自營商,6484,1515222,15042,3508183,-8558,-1992961,6927,1600672,16345,3782717,-9418,-2182045
2025/01/09,ZMX,外資,46383,10822483,57623,13435527,-11240,-2613043,2716,627695,13505,3121210,-10789,-2493515
2025/01/09,ZMX,投信,0,0,0,0,0,0,0,0,0,0,0,0
2025/01/09,NQF,自營商,44,47018,32,34171,12,12847,14,14937,348,371303,-334,-356366
2025/01/09,NQF,投信,0,0,0,0,0,0,4,4268,0,0,4,4268
2025/01/10,TX,自營商,7205,33243244,7252,33468957,-47,-225714,5867,27103295,6271,28968457,-404,-1865162
2025/01/09,NQF,外資,1577,1684008,1457,1555383,120,128625,26,27983,2030,2166636,-2004,-2138653
